product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g
0857549004248,Organic Oatmeal Dark Chocolate,heavenly hunks,120.0,,16.0,7.0,6.0,3.5,1.0,1.0,0.0625,0.025,22.0,4.0,2.90178571428572
8017596107008,Crema di arachidi,"Eurospin, Mister Sibamba",646.0,,13.0,5.6,54.0,7.1,24.0,6.0,0.4425,0.177,-4.0,,0.0
6118000080572,موكسول,,,,,,,,,,,,,,
4009900546089,Skittles Taste The Rainbow Fruits,Mars,397.0,1683.0,89.0,74.0,4.2,2.3,0.0,0.0,0.02,0.008,22.0,4.0,0.0
0612322030209,Oaties,Nairn's,493.0,2061.0,59.8,20.3,23.5,8.0,7.5,5.9,0.97,0.388,20.0,4.0,0.0
5055958705977,Cocoa vanilla flapjack,Graze,386.0,1607.0,33.0,8.9,22.0,4.0,6.3,17.0,0.23,0.092,3.0,4.0,29.6166666666667
5010003065659,hovis rustic seeded bloomer,Hovis,293.0,1236.0,45.2,3.1,6.8,1.1,10.6,4.2,0.88,0.352,2.0,4.0,1.535
4088600389752,Peach slices in juice,Aldi,88.0,,20.0,20.0,0.0,0.0,1.2,1.6,0.06,0.024,0.0,1.0,68.75
00322782,Rice noodles,By Sainsbury's,134.0,,28.9,0.5,0.5,0.1,2.4,1.9,0.01,0.004,1.0,1.0,0.0
6111261590415,Dibala,,,,,,,,,,,,,,
5057172086573,High Bran,Asda,335.0,1407.0,50.0,13.0,3.2,0.6,14.0,26.0,0.5,0.2,-1.0,4.0,0.0
6111248410378,,,24.0,,0.79,,0.1,,0.3,0.0,0.0,0.0,,,0.0
5060430292678,Thai Massaman Curry,BOL,369.0,,70.7,5.0,5.9,3.6,20.7,23.9,1.9075,0.763,7.0,4.0,49.70361328125
8480000866844,Mermelada melocotón,Hacendado,194.0,824.0,48.0,44.0,0.0,0.0,0.5,0.0,0.0,0.0,13.0,4.0,60.0
8402001009051,Salsa pesto con albahaca,Hacendado,570.0,2350.0,7.7,1.4,57.0,7.3,5.9,,3.0,1.2,28.0,4.0,35.5
5000157147868,Sundried Cherry Tomato & Basil,Heinz,49.0,,5.1,4.3,2.1,0.3,1.7,,0.7075,0.283,-1.0,3.0,94.25
6111262588404,,,,,,,,,,,,,,,
7622201747558,Instant Hot Chocolate,Cadbury,112.0,469.0,19.0,17.0,2.1,1.2,2.4,2.5,0.0625,0.025,,4.0,0.0
8001090944634,,,,,,,,,,,,,,4.0,2.89257835106582e-06
5000234054478,Banana chips,Whitworths,501.0,2094.0,61.8,18.1,26.5,22.6,1.9,3.8,0.01,0.004,18.0,4.0,60.95
00494168,caramelised onion chutney,"taste the difference, Sainsbury's taste the difference",209.0,,50.6,49.2,0.5,0.1,0.7,1.3,0.003,0.0012,14.0,4.0,63.8611111111111
0071146008274,Baked Green Pea Snacks Lightly Salted,"Calbee, Harvest Snaps",130.0,,16.0,0.0,5.0,0.0,5.0,4.0,0.1875,0.075,-4.0,3.0,68.75
4056489822585,pistachio pesto,"Deluxe,Lidl",346.0,,6.6,3.0,33.0,4.8,4.9,1.5,1.18,0.472,12.0,4.0,51.540625
