product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,nutrition-score-fr,nova-group,fruits-vegetables-nuts-estimate-from-ingredients_100g
3045320008920,Confiture châtaigne,Bonne Maman,245.0,1038.0,57.0,46.0,0.9,0.2,0.7,3.0,0.0,0.0,,3.0,18.75
8000500290392,Barre Chocolatée Kinder Bueno Chocolat au Lait,"Kinder, Ferrero, Mixte",572.0,2384.0,49.5,41.2,37.3,17.3,8.6,2.5,0.272,0.1088,,4.0,10.8
5010292961182,Kimchi,Vadasz,15.0,63.0,1.0,0.0,0.4,0.1,1.1,1.8,2.065,0.826,,3.0,0.2653808593749965
3228020481150,Beurre Doux (82% MG) Gastronomique,Président,743.0,3054.4,0.5,0.5,82.0,57.0,0.7,2.5,0.03,0.012,,2.0,0.0
5000127062092,Bran Flakes,"Kellogg's, Kellog's",358.0,1509.0,65.0,14.0,2.2,0.4,11.0,17.0,0.66,0.264,,4.0,0.0
5010003000131,Soft White,Hovis,232.5,994.25,44.75,3.5,1.75,0.25,8.75,2.5,0.8875,0.355,,10.0,0.0
3023290009086,Secret de Mousse Chocolat Noir,"Nestlé,La Laitière",158.0,673.0,20.6,19.4,5.7,3.8,5.0,2.1,0.15,0.06,,4.0,0.0
3564707000239,Œufs bio x6,"Bio Village, Marque Repère",70.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,1.0,0.0
8423207201315,Tortitas de maíz,"Bicentury,Nutrition & Santé",379.0,1607.0,81.0,1.0,2.0,0.3,7.7,3.1,1.7,0.68,,4.0,0.5
5000168001104,Original Table Water,Carr's,446.666666666667,2146.95652173913,53.4782608695652,3.91304347826087,28.695652173913,13.9130434782609,9.1304347826087,2.60869565217391,1.70652173913043,0.682608695652174,,13.0434782608696,0.0
8711327370708,Chocolate Fudge Brownie,"Ben & Jerry's,Unilever",250.0,1051.0,29.0,27.0,13.0,7.8,4.3,1.74,0.23,0.092,,4.0,0.0
5000184321071,Real Mayonnaise,Hellmann's,720.0,3011.0,1.4,1.3,79.0,6.1,1.1,2.5,1.2,0.48,,4.0,0.0
3270190007418,Petits pains grilles,Carrefour,407.0,1719.0,73.0,8.6,7.8,0.7,9.5,3.5,1.0,0.4,,4.0,1.875
3760049790672,4 Baguettes viennoises complètes sans sucres ajoutés 340g,La Boulangère,314.0,1319.0,40.0,3.6,9.9,1.5,13.0,6.4,0.86,0.344,,4.0,5.7125
7622400013928,Lait Praliné Double Lait,Côte d'Or,530.0,2190.9,58.0,56.0,29.0,14.0,6.3,3.1,0.12,0.048,,4.0,12.0
3179142720200,Arôme vanille Bourbon,Vahiné,286.0,1194.0,16.96,4.4,6.95,1.6,6.5,2.5,0.355,0.138,,4.0,0.0
3179140923061,Chocolat Noir Pépites,Vahiné,504.0,2105.0,54.0,50.0,27.0,17.0,6.9,8.8,0.02,0.008,,4.0,0.0
3661344795372,Flan bio à la vanille nappé de caramel,Les 2 Vaches,114.0,483.0,18.6,17.4,3.0,2.1,3.2,2.5,0.22,0.052,,4.0,0.2653808593749965
3608580046745,Dessert au lait d'amande et au chocolat,Andros,140.0,596.0,16.6,12.2,7.4,5.3,1.0,1.6,0.15,0.06,,4.0,1.75
3263670125412,Sardines au Piment d'espelette doux,Connetable,260.0,1079.6,0.6,0.6,20.0,4.0,19.0,0.8,2.25,0.9,,3.0,14.0
5052910706706,Organic Baked Beans,Tesco,87.0,1194.0,14.0,4.4,0.5,0.1,4.6,3.7,0.4925,0.197,,3.0,0.2653808593749965
3251320080617,6 oeufs fermiers label rouge de,"Fermiers de Loué, LOUÉ",140.0,584.0,0.3,0.3,9.8,2.6,12.7,0.0,0.3,0.12,,1.0,0.0
8410376051940,Mini Bites Quinoa & Chía,Gullón,479.0,2006.0,58.0,6.2,22.0,2.0,8.2,8.3,2.8,1.12,,3.0,1.25
20072360,Danpak Spreadable Slightly Salted,Danpack,707.0,2958.0,0.6,0.6,78.0,38.0,0.5,0.0,0.885,0.354,,2.0,0.2653808593749965
3250390150589,Emmental français râpé,Pâturages,368.0,1504.0,0.5,0.5,28.0,19.9,27.0,0.5,0.7,0.28,,3.0,0.0
5010029202410,Weetabix,Weetabix,357.894736842105,1531.0,69.0,4.2,2.0,0.6,12.0,10.0,0.28,0.112,,3.0,0.0
3250390145608,Petits pains grillés au blé complet sans sucres ajoutés,"Chabrior,Sélection Intermarché",389.0,1641.0,68.0,2.8,5.5,0.5,13.0,7.6,1.3,0.52,,3.0,4.8
3017800006481,Légumes cuisinés pour couscous d'aucy 800g,D'aucy,30.0,125.0,3.1,1.8,1.0,0.1,1.2,1.8,0.57,0.228,,3.0,0.2653808593749965
5018357012350,Gloriously nutty muesli,dorset cereals,415.0,1743.1,54.4,8.4,14.3,2.0,13.2,8.1,0.03,0.012,,4.0,52.8984375
4056489182528,Frischei-Waffeln,Rowan Hill Bakery,452.380952380952,1887.2,53.2,27.6,23.3,2.8,7.1,2.5,0.36,0.144,,4.0,12.7222222222222
